promo_id,campaign_name,promo_type,mechanic,discount_rate,date_start,date_end,perimeter,store_id
P040,Cat Days 2025,produits,-20 % univers chat,0.2,2025-03-10,2025-03-23,omnicanal,
P041,Anniversaire MaxiZoo 2025,seuils,-10 € dès 60 € d'achat,0.0,2025-05-12,2025-05-25,omnicanal,
P042,Été sans parasites 2025,produits,-15 % antiparasitaires,0.15,2025-06-05,2025-06-25,omnicanal,
P043,Dog Days 2025,produits,-20 % univers chien,0.2,2025-09-08,2025-09-21,omnicanal,
P044,Black Friday 2025,produits,-30 % sélection,0.3,2025-11-22,2025-11-29,omnicanal,
P045,Noël des animaux 2025,mise_en_avant,Têtes de gondole fêtes,0.0,2025-12-01,2025-12-24,omnicanal,
P046,Cadeau de Noël 2025,cadeau_seuil,Peluche offerte dès 40 €,0.0,2025-12-10,2025-12-24,omnicanal,
P047,Influenceurs #MonAnimalEtMoi printemps 2025,influence,Produits offerts à 15 influenceurs,0.0,2025-04-05,2025-04-18,online,
P048,Influenceurs #MonAnimalEtMoi automne 2025,influence,Produits offerts à 15 influenceurs,0.0,2025-10-05,2025-10-18,online,
P049,Soldes d'hiver 2026,produits,-25 % sélection,0.25,2026-01-08,2026-02-04,omnicanal,
P050,Cat Days 2026,produits,-20 % univers chat,0.2,2026-03-10,2026-03-23,omnicanal,
P051,Anniversaire MaxiZoo 2026,seuils,-10 € dès 60 € d'achat,0.0,2026-05-12,2026-05-25,omnicanal,
P052,Été sans parasites 2026,produits,-15 % antiparasitaires,0.15,2026-06-05,2026-06-25,omnicanal,
P053,Dog Days 2026,produits,-20 % univers chien,0.2,2026-09-08,2026-09-21,omnicanal,
P054,Black Friday 2026,produits,-30 % sélection,0.3,2026-11-22,2026-11-29,omnicanal,
P055,Noël des animaux 2026,mise_en_avant,Têtes de gondole fêtes,0.0,2026-12-01,2026-12-24,omnicanal,
P056,Cadeau de Noël 2026,cadeau_seuil,Peluche offerte dès 40 €,0.0,2026-12-10,2026-12-24,omnicanal,
P057,Influenceurs #MonAnimalEtMoi printemps 2026,influence,Produits offerts à 15 influenceurs,0.0,2026-04-05,2026-04-18,online,
P058,Influenceurs #MonAnimalEtMoi automne 2026,influence,Produits offerts à 15 influenceurs,0.0,2026-10-05,2026-10-18,online,
P059,Réouverture magasin Dijon,ouverture_magasin,Animations + goodies,0.0,2023-10-05,2023-10-08,magasin,S09
P060,Magasin rénové Brive,ouverture_magasin,Animations + goodies,0.0,2025-04-10,2025-04-13,magasin,S12
